qid,P31,P21,P2925,P22,P25,P460,P1889,P4185,P157,P1074
Q1413020,Q22988604,Q6581097,,,,,Q179785,,,
Q1180888,Q22988604,Q6581097,,,,,,,,
Q34041,Q22988604,Q6581097,,Q134756,Q3337163,,Q1658039,,,
Q1136130,Q22988604,Q6581097,,Q578378,Q641993,,,,,
Q192673,Q22988604,Q6581072,,Q128176,Q131157,Q28362963,Q28912311,,Q128176,
Q332752,Q22988604,Q6581097,,Q12760056,Q40196079,,Q1253371,,,
Q847268,Q22988604,Q6581097,,Q122248,Q272000,Q41505034,Q2005507,,,
Q223690,Q1916821,Q6581072,,Q27613,Q978079,Q1821610,Q11712651,,,
Q744147,Q22988604,Q6581072,,Q939149,Q22906403,,,,,
Q2468258,Q22988604,Q6581072,,Q505171,,,,,,
Q338201,Q22988604,Q6581097,,Q1320718,Q580862,,,,,
Q1455747,Q22988604,Q6581097,,Q247446,Q1564159,Q12755124,,,,
Q2479189,Q22988604,Q6581097,,Q4530734,,Q126901044,,,,
Q271891,Q22988604,Q6581097,,Q30024297,,,,,,
Q1675360,Q22988604,Q6581097,,Q1138506,Q1231743,,,,,
Q274600,Q16326794,Q44148,,Q200382,Q209489,,Q249548,,Q122248,
Q200073,Q16326794,Q6581072,,Q41127,Q1129914,Q59312503,Q59312503,,,
Q12754448,Q22988604,Q6581097,,Q1178970,,,,,,
Q10316761,Q22988604,Q6581097,,,,,,,,
Q182019,Q22988604,Q6581072,,Q768822,Q59618605,Q1298222,,,,
Q4259170,Q22988604,Q6581097,,Q41127,Q752338,,,,,
Q339980,Q22988604,Q6581072,,Q1943618,Q61046106,,,,,
Q922330,Q22988604,Q6581097,,,,,,,,
Q501667,Q431113,Q6581097,,Q1636827,Q7595427,,Q1160661,,,
Q1330532,Q22988604,Q6581097,,Q37340,Q14702439,,Q15262316,,,
Q270117,Q22988604,Q6581097,,Q60197377,,,Q225349,,,
Q1124866,Q22988604,Q6581097,,Q578378,Q641993,,Q20088821,,,
Q9026462,Q22988604,Q6581097,,Q172549,,Q113549334,,,,
Q599737,Q163709,Q6581097,,Q30062832,,,,,,
Q174278,Q22988604,Q6581072,,Q241971,Q2293877,,,,,
Q160730,Q22988604,Q6581072,,Q200382,Q209489,,Q3558668,,Q130832,
Q371545,Q22988604,Q6581072,,Q79999,Q93172,,,,,
Q3854114,Q22988604,Q6581072,,Q207715,Q622809,,,,,
Q321541,Q22988604,Q6581097,,Q749966,Q440440,,,,,
Q3854231,Q22988604,Q6581072,,Q1919444,,,,,,
Q103992,Q22988604,Q6581072,,Q34201,Q102884,,,,,
Q506781,Q22988604,Q6581097,,Q737306,Q178417,Q122066765,Q297965,,Q41746,
Q744871,Q22988604,Q6581097,,Q732066,,,,,,
Q171839,Q22988604,Q6581097,,Q192469,Q508543,,Q2153151,,,
Q214003,Q22988604,Q6581097,,Q22965371,,,Q13442311,,,
Q308398,Q22988604,Q6581097,,Q1413020,Q188236,,Q436188,,,
Q23168,Q22988604,Q6581097,,Q34201,Q165170,,Q527174,,,
Q129866,Q20902363,Q6581097,,Q746198,Q203236,Q8207417,Q2243366,,Q1320718,
Q771366,Q22988604,Q6581072,,Q878246,Q3298501,,,,,
Q1149595,Q22988604,Q6581097,,Q40901,Q1186488,,,,,
Q179256,Q22988604,Q6581097,,Q1478704,Q1815682,,Q828609,,,
Q3870520,Q22988604,Q6581097,,Q3907223,,,,,,
Q322639,Q22988604,Q6581097,,Q41746,Q431387,Q12757289,,,Q192407,
Q466866,Q83203,,,Q271891,Q624551,,,,,
Q213621,Q22988604,Q6581072,,Q182101,Q112001,,Q1072573,,,
Q7134950,Q22988604,Q6581097,,Q1539642,Q72211,,,,,
Q1929263,Q22988604,Q6581097,,Q937512,Q1332949,,Q3455419,,,
Q1419140,Q22988604,Q6581097,,Q368157,Q762272,,Q14522045,,,
Q975447,Q22988604,Q6581097,,Q18629526,Q3606858,,Q18592060,,,
Q290144,Q22988604,Q6581097,,,,,,,,
Q486698,Q22988604,Q6581072,,Q11710892,,,,,,
Q192407,Q22988604,Q6581097,,Q128176,Q131157,Q4691174,,,,
Q174353,Q22988604,Q6581097,,Q1539620,Q103975,,Q15615531,,Q209599,
Q16328250,Q22988604,Q6581097,,,,,,,,
Q252387,Q22988604,Q6581097,,Q833826,Q2980439,,,,,
Q2048018,Q22988604,Q6581097,,Q837699,,,,,Q633549,
Q131346,Q22988604,Q6581072,,,,,Q108349,,,
Q167646,Q22988604,Q6581097,,Q170473,Q193433,,Q104197,,Q212827,Q575219
Q186271,Q22988604,Q6581097,,Q1920680,,,,,Q159666,
Q178641,Q22988604,Q6581097,,Q206187,Q2293816,,,,,
Q182439,Q22988604,Q6581097,,Q41127,Q1126715,,Q2035691,,,
Q192485,Q22988604,Q6581097,,Q182101,Q21051020,,Q2068297,,,
Q165769,Q22988604,Q6581072,,Q1658054,Q17197552,,Q11815521,,,
Q391091,Q22988604,Q6581097,,Q1280725,Q381459,,,,,
Q379828,Q22988604,Q6581072,,Q40901,Q1419104,,,,,
Q63246636,Q22988604,Q6581097,,,,,,,,
Q1349003,Q22988604,Q6581097,,Q12656482,,,,,,
Q192343,Q22988604,Q6581097,,,,,Q224984,,,
Q494886,Q22988604,Q6581097,,Q1421896,Q284487,Q24731870,,,,
Q13409873,Q22988604,Q6581097,,,,,,,,
Q3411429,Q22988604,Q6581097,,,,,,,,
Q622809,Q22988604,Q6581072,,Q41054,Q131346,,,,,
Q346634,Q22988604,Q6581097,,Q170473,Q193433,Q29626641,,,,
Q193567,Q128430,Q6581097,,Q41127,Q843514,,Q1173735,,,
Q104425,Q22988604,Q6581072,Q484692,Q34201,Q102884,,,,,
Q334817,Q22988604,Q6581097,,Q130890,Q131445,,Q2101336,,,
Q750236,Q22988604,Q6581072,,Q170473,Q193433,,,,,
Q12046224,Q22988604,Q6581097,,Q34201,Q182019,,,,,
Q170473,Q22988604,Q6581097,,Q332324,Q23818213,,,,Q322639,
Q206878,Q22988604,Q6581097,,Q41680,Q35500,Q9642688,Q38433591,,,
Q1231743,Q22988604,Q6581072,,Q865111,Q1641282,,,,,
